	cuisines	property_title	ranking	review_count	url2
0	['American', 'Barbecue']	Brisket	#1 of 545 Restaurants in Amman	268 reviews 	/Restaurant_Review-g293986-d7267482-Reviews-Brisket-Amman_Amman_Governorate.html
1	['Pizza', 'Arabic', 'Halal', 'Gluten Free Options']	Pizza Roma Cafe	#2 of 545 Restaurants in Amman	300 reviews 	/Restaurant_Review-g293986-d3389330-Reviews-Pizza_Roma_Cafe-Amman_Amman_Governorate.html
2	['Middle Eastern', 'Halal']	Habibah Sweets	#3 of 545 Restaurants in Amman	665 reviews 	/Restaurant_Review-g293986-d2084697-Reviews-Habibah_Sweets-Amman_Amman_Governorate.html
3	['Lebanese', 'Mediterranean', 'Middle Eastern', 'Halal', 'Gluten Free Options', 'Vegetarian Friendly', 'Vegan Options']	Fakhreldin Restaurant	#4 of 545 Restaurants in Amman	787 reviews 	/Restaurant_Review-g293986-d1371269-Reviews-Fakhreldin_Restaurant-Amman_Amman_Governorate.html
4	['Mediterranean', 'Middle Eastern', 'Halal', 'Gluten Free Options', 'Vegetarian Friendly', 'Vegan Options']	Sufra Restaurant	#5 of 545 Restaurants in Amman	701 reviews 	/Restaurant_Review-g293986-d2406112-Reviews-Sufra_Restaurant-Amman_Amman_Governorate.html
5	['Steakhouse', 'American', 'International']	V Lounge & Restaurant	#6 of 545 Restaurants in Amman	57 reviews 	/Restaurant_Review-g293986-d3989474-Reviews-V_Lounge_Restaurant-Amman_Amman_Governorate.html
6	['Lebanese', 'Mediterranean', 'Middle Eastern', 'Halal', 'Gluten Free Options', 'Vegetarian Friendly', 'Vegan Options']	Tawaheen al-Hawa	#7 of 545 Restaurants in Amman	713 reviews 	/Restaurant_Review-g293986-d1641029-Reviews-Tawaheen_al_Hawa-Amman_Amman_Governorate.html
7	['American', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']	Chestnut Restaurant & Pub	#8 of 545 Restaurants in Amman	283 reviews 	/Restaurant_Review-g293986-d7761403-Reviews-Chestnut_Restaurant_Pub-Amman_Amman_Governorate.html
8	['Fast Food', 'Mediterranean', 'Middle Eastern', 'Vegetarian Friendly', 'Vegan Options', 'Halal']	Hashem	#9 of 545 Restaurants in Amman	1,361 reviews 	/Restaurant_Review-g293986-d1918356-Reviews-Hashem-Amman_Amman_Governorate.html
9	['Fast Food', 'Mediterranean', 'Middle Eastern', 'Vegetarian Friendly', 'Vegan Options', 'Halal']	Abu Jbara	#10 of 545 Restaurants in Amman	348 reviews 	/Restaurant_Review-g293986-d3261923-Reviews-Abu_Jbara-Amman_Amman_Governorate.html
