	languages	latitude	longitude	name	rank	rating	review_count	times of year	travelers
0	['English(88)', 'German(3)', 'Italian(3)', '']	31.949797	35.925457	Turtle Green Tea Bar	"#3 of 30 Coffee & Tea in Amman 
#59 of 595 Places to Eat in Amman"	4.5	103	[('Mar-May', '(31)'), ('Jun-Aug', '(24)'), ('Sep-Nov', '(14)'), ('Dec-Feb', '(19)')]	[('Families', '(6)'), ('Couples', '(9)'), ('Solo', '(16)'), ('Business', '(6)'), ('Friends', '(31)')]
1	['English(10)', 'French(1)']	31.94913	35.9292	Mr. Lollies	"#3 of 25 Dessert in Amman 
#98 of 595 Places to Eat in Amman"	5	11	[('Mar-May', '(3)'), ('Jun-Aug', '(2)'), ('Sep-Nov', '(5)'), ('Dec-Feb', '(0)')]	[('Families', '(1)'), ('Couples', '(1)'), ('Solo', '(0)'), ('Business', '(0)'), ('Friends', '(7)')]
2	['English(2)']			Al-Raqaq Saj	#230 of 545 Restaurants in Amman	5	2	[('Mar-May', '(1)'), ('Jun-Aug', '(1)'), ('Sep-Nov', '(0)'), ('Dec-Feb', '(0)')]	[('Families', '(2)'), ('Couples', '(0)'), ('Solo', '(0)'), ('Business', '(0)'), ('Friends', '(0)')]
3	['English(45)', 'Arabic(5)', 'Spanish(3)', '']	31.94913	35.9292	Mijana Restaurant	#41 of 545 Restaurants in Amman	4.5	56	[('Mar-May', '(12)'), ('Jun-Aug', '(15)'), ('Sep-Nov', '(7)'), ('Dec-Feb', '(11)')]	[('Families', '(5)'), ('Couples', '(10)'), ('Solo', '(1)'), ('Business', '(8)'), ('Friends', '(14)')]
4	['English(43)', 'Italian(5)', 'French(2)', '']	31.95133	35.93271	Zorba Touristic Restaurant	#149 of 545 Restaurants in Amman	4	53	[('Mar-May', '(11)'), ('Jun-Aug', '(16)'), ('Sep-Nov', '(8)'), ('Dec-Feb', '(8)')]	[('Families', '(8)'), ('Couples', '(4)'), ('Solo', '(1)'), ('Business', '(0)'), ('Friends', '(20)')]
5	['English(49)', 'Portuguese(2)', 'Arabic(1)', '']	31.94932	35.924484	Caffe Strada	#35 of 545 Restaurants in Amman	4.5	53	[('Mar-May', '(9)'), ('Jun-Aug', '(9)'), ('Sep-Nov', '(11)'), ('Dec-Feb', '(20)')]	[('Families', '(2)'), ('Couples', '(9)'), ('Solo', '(11)'), ('Business', '(1)'), ('Friends', '(23)')]
6	['English(74)', 'Arabic(3)', 'Spanish(2)']	31.950348	35.923878	Firefly Burger	#70 of 545 Restaurants in Amman	4	79	[('Mar-May', '(21)'), ('Jun-Aug', '(18)'), ('Sep-Nov', '(15)'), ('Dec-Feb', '(20)')]	[('Families', '(13)'), ('Couples', '(10)'), ('Solo', '(4)'), ('Business', '(2)'), ('Friends', '(37)')]
7	['English(60)', 'Arabic(3)', 'German(1)', '']	31.973589	35.86889	Tche Tche	#376 of 545 Restaurants in Amman	3	67	[('Mar-May', '(15)'), ('Jun-Aug', '(18)'), ('Sep-Nov', '(15)'), ('Dec-Feb', '(12)')]	[('Families', '(11)'), ('Couples', '(5)'), ('Solo', '(5)'), ('Business', '(4)'), ('Friends', '(16)')]
8	['English(3)']	31.95063	35.92315	Mr. Krepe	#463 of 545 Restaurants in Amman	2.5	3	[('Mar-May', '(0)'), ('Jun-Aug', '(0)'), ('Sep-Nov', '(1)'), ('Dec-Feb', '(2)')]	[('Families', '(0)'), ('Couples', '(1)'), ('Solo', '(0)'), ('Business', '(0)'), ('Friends', '(2)')]
9	['English(170)', 'Italian(7)', 'French(5)', '']	31.94937	35.92642	Al-Quds	#12 of 545 Restaurants in Amman	4.5	197	[('Mar-May', '(47)'), ('Jun-Aug', '(38)'), ('Sep-Nov', '(45)'), ('Dec-Feb', '(40)')]	[('Families', '(30)'), ('Couples', '(33)'), ('Solo', '(22)'), ('Business', '(9)'), ('Friends', '(46)')]
10	['English(53)', 'Italian(3)', 'Arabic(2)', '']	31.95063	35.92315	Fatatri	#45 of 545 Restaurants in Amman	4.5	63	[('Mar-May', '(18)'), ('Jun-Aug', '(8)'), ('Sep-Nov', '(20)'), ('Dec-Feb', '(7)')]	[('Families', '(12)'), ('Couples', '(17)'), ('Solo', '(2)'), ('Business', '(1)'), ('Friends', '(14)')]
11	['English(38)', 'Arabic(1)', 'Dutch(1)', '']	31.949194	35.927757	Nabteh o Fatteh	#53 of 545 Restaurants in Amman	4.5	42	[('Mar-May', '(12)'), ('Jun-Aug', '(8)'), ('Sep-Nov', '(10)'), ('Dec-Feb', '(8)')]	[('Families', '(9)'), ('Couples', '(11)'), ('Solo', '(2)'), ('Business', '(3)'), ('Friends', '(9)')]
12	['English(5)']			Tom Yum	#308 of 545 Restaurants in Amman	4	5	[('Mar-May', '(3)'), ('Jun-Aug', '(1)'), ('Sep-Nov', '(0)'), ('Dec-Feb', '(1)')]	[('Families', '(1)'), ('Couples', '(3)'), ('Solo', '(0)'), ('Business', '(0)'), ('Friends', '(1)')]
13	['English(5)']	31.95063	35.92315	Nut & More Crepes	"#11 of 25 Dessert in Amman 
#264 of 595 Places to Eat in Amman"	5	5	[('Mar-May', '(1)'), ('Jun-Aug', '(2)'), ('Sep-Nov', '(0)'), ('Dec-Feb', '(2)')]	[('Families', '(0)'), ('Couples', '(1)'), ('Solo', '(0)'), ('Business', '(0)'), ('Friends', '(4)')]
14	['English(24)', 'Arabic(2)', 'French(1)', '']	31.94913	35.9292	Gerard Ice Cream	"#1 of 25 Dessert in Amman 
#51 of 595 Places to Eat in Amman"	4.5	30	[('Mar-May', '(9)'), ('Jun-Aug', '(4)'), ('Sep-Nov', '(5)'), ('Dec-Feb', '(6)')]	[('Families', '(7)'), ('Couples', '(0)'), ('Solo', '(3)'), ('Business', '(1)'), ('Friends', '(12)')]
15	['English(7)']	31.96079	35.88124	Heroes Burgers and Wings	#421 of 545 Restaurants in Amman	3	7	[('Mar-May', '(2)'), ('Jun-Aug', '(1)'), ('Sep-Nov', '(0)'), ('Dec-Feb', '(4)')]	[('Families', '(1)'), ('Couples', '(0)'), ('Solo', '(3)'), ('Business', '(1)'), ('Friends', '(1)')]
16	['English(24)', 'Arabic(5)', 'Russian(2)', '']	31.949444	35.92642	Rawan Cake	#317 of 545 Restaurants in Amman	3.5	34	[('Mar-May', '(8)'), ('Jun-Aug', '(5)'), ('Sep-Nov', '(7)'), ('Dec-Feb', '(4)')]	[('Families', '(13)'), ('Couples', '(2)'), ('Solo', '(2)'), ('Business', '(0)'), ('Friends', '(4)')]
17	[]			Overdoze				[]	[]
18	['English(14)', 'Arabic(1)']	31.95186	35.89488	Pancake and Waffle House	#439 of 545 Restaurants in Amman	3	15	[('Mar-May', '(3)'), ('Jun-Aug', '(6)'), ('Sep-Nov', '(4)'), ('Dec-Feb', '(1)')]	[('Families', '(9)'), ('Couples', '(0)'), ('Solo', '(2)'), ('Business', '(1)'), ('Friends', '(2)')]
19	['English(14)', 'Arabic(1)']	31.948248	35.92677	The Bake House	"#6 of 25 Dessert in Amman 
#114 of 595 Places to Eat in Amman"	4.5	15	[('Mar-May', '(4)'), ('Jun-Aug', '(4)'), ('Sep-Nov', '(3)'), ('Dec-Feb', '(3)')]	[('Families', '(8)'), ('Couples', '(2)'), ('Solo', '(0)'), ('Business', '(0)'), ('Friends', '(4)')]
20	['English(6)']			Sekrab	#322 of 545 Restaurants in Amman	4	6	[('Mar-May', '(2)'), ('Jun-Aug', '(2)'), ('Sep-Nov', '(1)'), ('Dec-Feb', '(1)')]	[('Families', '(1)'), ('Couples', '(1)'), ('Solo', '(0)'), ('Business', '(0)'), ('Friends', '(3)')]
21	['English(2)', 'Arabic(1)', 'Japanese(1)', '']	31.94913	35.9292	Batata	#184 of 545 Restaurants in Amman	4.5	5	[('Mar-May', '(1)'), ('Jun-Aug', '(1)'), ('Sep-Nov', '(0)'), ('Dec-Feb', '(0)')]	[('Families', '(0)'), ('Couples', '(0)'), ('Solo', '(0)'), ('Business', '(0)'), ('Friends', '(2)')]
22	['English(65)', 'Italian(2)', 'Portuguese(1)', '']	31.95063	35.92315	La Calle	#93 of 545 Restaurants in Amman	4	69	[('Mar-May', '(20)'), ('Jun-Aug', '(14)'), ('Sep-Nov', '(13)'), ('Dec-Feb', '(18)')]	[('Families', '(2)'), ('Couples', '(9)'), ('Solo', '(3)'), ('Business', '(2)'), ('Friends', '(29)')]
23	['English(2)', 'Arabic(1)', 'Dutch(1)', '']	31.951391	35.92626	Hareem Al Sultan	#183 of 545 Restaurants in Amman	4.5	5	[('Mar-May', '(1)'), ('Jun-Aug', '(0)'), ('Sep-Nov', '(1)'), ('Dec-Feb', '(0)')]	[('Families', '(0)'), ('Couples', '(1)'), ('Solo', '(1)'), ('Business', '(0)'), ('Friends', '(0)')]
24	['English(50)', 'Italian(2)', 'Spanish(2)', '']	31.94903	35.928833	Q Restaurant	#147 of 545 Restaurants in Amman	4.5	56	[('Mar-May', '(9)'), ('Jun-Aug', '(13)'), ('Sep-Nov', '(21)'), ('Dec-Feb', '(7)')]	[('Families', '(4)'), ('Couples', '(10)'), ('Solo', '(4)'), ('Business', '(5)'), ('Friends', '(21)')]
25	['English(83)', 'German(3)', 'Arabic(2)', '']	31.949158	35.92871	Da Esmat Italian Kitchen	#72 of 545 Restaurants in Amman	4	90	[('Mar-May', '(17)'), ('Jun-Aug', '(17)'), ('Sep-Nov', '(24)'), ('Dec-Feb', '(25)')]	[('Families', '(23)'), ('Couples', '(17)'), ('Solo', '(1)'), ('Business', '(1)'), ('Friends', '(31)')]
26	['English(602)', 'Italian(33)', 'Chinese', '']	31.94924	35.929058	Sufra Restaurant	#5 of 545 Restaurants in Amman	4.5	701	[('Mar-May', '(177)'), ('Jun-Aug', '(134)'), ('Sep-Nov', '(159)'), ('Dec-Feb', '(132)')]	[('Families', '(125)'), ('Couples', '(86)'), ('Solo', '(23)'), ('Business', '(81)'), ('Friends', '(197)')]
27	['English(8)']			Crave	#171 of 545 Restaurants in Amman	5	8	[('Mar-May', '(1)'), ('Jun-Aug', '(1)'), ('Sep-Nov', '(4)'), ('Dec-Feb', '(2)')]	[('Families', '(1)'), ('Couples', '(0)'), ('Solo', '(2)'), ('Business', '(0)'), ('Friends', '(5)')]
28	['English(2)', 'Japanese(1)']	31.948942	35.931564	Old View	#175 of 545 Restaurants in Amman	4.5	3	[('Mar-May', '(0)'), ('Jun-Aug', '(0)'), ('Sep-Nov', '(0)'), ('Dec-Feb', '(2)')]	[('Families', '(0)'), ('Couples', '(0)'), ('Solo', '(0)'), ('Business', '(0)'), ('Friends', '(2)')]
29	['English(296)', 'Italian(13)', 'French(12)', '']	31.948015	35.931316	Books at Cafe	#22 of 545 Restaurants in Amman	4	343	[('Mar-May', '(74)'), ('Jun-Aug', '(71)'), ('Sep-Nov', '(80)'), ('Dec-Feb', '(71)')]	[('Families', '(27)'), ('Couples', '(44)'), ('Solo', '(25)'), ('Business', '(13)'), ('Friends', '(125)')]
