,latitude,longitude,name
0,31.949797,35.925457,Turtle Green Tea Bar
1,31.94913,35.9292,Mr. Lollies
2,,,Al-Raqaq Saj
3,31.94913,35.9292,Mijana Restaurant
4,31.95133,35.93271,Zorba Touristic Restaurant
5,31.94932,35.924484,Caffe Strada
6,31.950348,35.923878,Firefly Burger
7,31.973589,35.86889,Tche Tche
8,31.95063,35.92315,Mr. Krepe
9,31.94937,35.92642,Al-Quds
10,31.95063,35.92315,Fatatri
11,31.949194,35.927757,Nabteh o Fatteh
12,,,Tom Yum
13,31.95063,35.92315,Nut & More Crepes
14,31.94913,35.9292,Gerard Ice Cream
15,31.96079,35.88124,Heroes Burgers and Wings
16,31.949444,35.92642,Rawan Cake
17,,,Overdoze
18,31.95186,35.89488,Pancake and Waffle House
19,31.948248,35.92677,The Bake House
20,,,Sekrab
21,31.94913,35.9292,Batata
22,31.95063,35.92315,La Calle
23,31.951391,35.92626,Hareem Al Sultan
24,31.94903,35.928833,Q Restaurant
25,31.949158,35.92871,Da Esmat Italian Kitchen
26,31.94924,35.929058,Sufra Restaurant
27,,,Crave
28,31.948942,35.931564,Old View
29,31.948015,35.931316,Books at Cafe
